Link check report for repository root: E:\IVS\Website\ivs\ivs.github.io
consulting.html -> /Pages/teachertrain.html -> ..\..\..\..\Pages\teachertrain.html -> MISSING
consulting.html -> /Pages/bosungchungchi.html -> ..\..\..\..\Pages\bosungchungchi.html -> MISSING
consulting.html -> /Blogs/talktask-ivsuniversitieshcmc.html -> ..\..\..\..\Blogs\talktask-ivsuniversitieshcmc.html -> MISSING
consulting.html -> /Pages/webdesign.html -> ..\..\..\..\Pages\webdesign.html -> MISSING
consulting.html -> /Pages/rnd-curriculum.html -> ..\..\..\..\Pages\rnd-curriculum.html -> MISSING
consulting.html -> /Pages/ivscelestech.html -> ..\..\..\..\Pages\ivscelestech.html -> MISSING
consulting.html -> /Blogs/health-yensao.html -> ..\..\..\..\Blogs\health-yensao.html -> MISSING
consulting.html -> /Blogs/health-luvyoga.html -> ..\..\..\..\Blogs\health-luvyoga.html -> MISSING
consulting.html -> /contact.html -> ..\..\..\..\contact.html -> MISSING
consulting.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
consulting.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
consulting.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
contact.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
contact.html -> /images/logo/logo-192.png -> ..\..\..\..\images\logo\logo-192.png -> MISSING
contact.html -> /manifest.json -> ..\..\..\..\manifest.json -> MISSING
contact.html -> /css/styles.min.css -> ..\..\..\..\css\styles.min.css -> MISSING
contact.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
contact.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
contact.html -> /js/firebase-init.js -> ..\..\..\..\js\firebase-init.js -> MISSING
contact.html -> /js/bundle.min.js -> ..\..\..\..\js\bundle.min.js -> MISSING
contact.html -> /js/security-enhancements.js -> ..\..\..\..\js\security-enhancements.js -> MISSING
education.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
education.html -> /images/logo/logo-192.png -> ..\..\..\..\images\logo\logo-192.png -> MISSING
education.html -> /manifest.json -> ..\..\..\..\manifest.json -> MISSING
education.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
education.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
education.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
education.html -> /Pages/lkmamnon.html -> ..\..\..\..\Pages\lkmamnon.html -> MISSING
education.html -> /Pages/lktieuhoc.html -> ..\..\..\..\Pages\lktieuhoc.html -> MISSING
education.html -> /Pages/lkthcsthpt.html -> ..\..\..\..\Pages\lkthcsthpt.html -> MISSING
education.html -> /Pages/ivslanguages.html -> ..\..\..\..\Pages\ivslanguages.html -> MISSING
education.html -> /Pages/foreign-teacher-services.html -> ..\..\..\..\Pages\foreign-teacher-services.html -> MISSING
education.html -> /Pages/rnd-curriculum.html -> ..\..\..\..\Pages\rnd-curriculum.html -> MISSING
education.html -> /Pages/ivslifeminds.html -> ..\..\..\..\Pages\ivslifeminds.html -> MISSING
education.html -> /Pages/teachertrain.html -> ..\..\..\..\Pages\teachertrain.html -> MISSING
education.html -> /Pages/ivscelestech-tcnoithat.html -> ..\..\..\..\Pages\ivscelestech-tcnoithat.html -> MISSING
education.html -> /Pages/tech_devices.html -> ..\..\..\..\Pages\tech_devices.html -> MISSING
education.html -> /Pages/english-placement.html -> ..\..\..\..\Pages\english-placement.html -> MISSING
education.html -> /contact.html -> ..\..\..\..\contact.html -> MISSING
education.html -> /js/script.js -> ..\..\..\..\js\script.js -> MISSING
education.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
education.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
education.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
fab-assistant.html -> /css/fab.css -> ..\..\..\..\css\fab.css -> MISSING
fab-container.html -> /css/fab.css -> ..\..\..\..\css\fab.css -> MISSING
fab-demo.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
fab-demo.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
fab-demo.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
fab-demo.html -> /js/utils.js -> ..\..\..\..\js\utils.js -> MISSING
fab-demo.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
fab-demo.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
fab-demo.html -> /js/utils.js -> ..\..\..\..\js\utils.js -> MISSING
